year,danceability,energy,danceability_delta,energy_delta
2021,0.6524883695652172,0.5788958315217388,0.0472029946234374,-0.0953515788182687
2020,0.6052853749417798,0.6742474103400076,0.0021839580246477,0.0444662806706223
2019,0.6031014169171321,0.6297811296693853,0.0003705031367335,-0.0297709631824951
2018,0.6027309137803987,0.6595520928518803,0.0222557282516416,-0.0268397272316077
2017,0.5804751855287571,0.686391820083488,-0.0011073602353967,0.0298448444342765
2016,0.5815825457641538,0.6565469756492115,0.0211275457641537,0.0652684691274734
2015,0.5604550000000001,0.5912785065217381,-0.0256980639431619,-0.0734992123059695
2014,0.586153063943162,0.6647777188277075,-0.0077275996723976,-0.0278171928046356
2013,0.5938806636155596,0.6925949116323431,0.0350394180821252,0.0055312209738434
2012,0.5588412455334344,0.6870636906584997,-0.0180984124919373,0.0292992659480757
2011,0.5769396580253717,0.657764424710424,-0.0226799238206254,0.0004091671887505
2010,0.5996195818459972,0.6573552575216735,0.0336189412310075,-0.0368901684872953
2009,0.5660006406149897,0.6942454260089688,0.0120541801747756,0.0223862858543000
2008,0.5539464604402141,0.6718591401546687,-0.0033765530530383,-0.0185400427538783
2007,0.5573230134932524,0.6903991829085471,0.0129702541113541,0.0331995581844849
2006,0.5443527593818983,0.6571996247240621,-0.0126286659403163,-0.0049516520007290
2005,0.5569814253222146,0.6621512767247911,-0.0135749776909680,-0.0101190622582601
2004,0.5705564030131827,0.6722703389830512,-0.0043734229361849,0.0222337646159618
2003,0.5749298259493676,0.6500365743670894,0.0053453977255233,0.0199192449266997
2002,0.5695844282238443,0.6301173294403897,-0.0222232170360949,-0.0131598774913128
2001,0.5918076452599391,0.6432772069317024,-0.0036437269527531,0.0228744299162661
2000,0.5954513722126922,0.6204027770154363,0.0139455408873910,-0.0076628986472146
1999,0.5815058313253012,0.6280656756626509,0.0008178273921646,0.0288526520638300
1998,0.5806880039331366,0.5992130235988209,0.0064646689553364,0.0025059046052348
1997,0.5742233349778002,0.5967071189935861,-0.0135627115338280,0.0168316860396018
1996,0.5877860465116282,0.5798754329539842,0.0279377206745463,0.0120177967720755
1995,0.559848325837082,0.5678576361819088,0.0101418374765049,-0.0000272226591026
1994,0.5497064883605771,0.5678848588410114,-0.0200193309045662,0.0178460852561064
1993,0.5697258192651433,0.5500387735849049,0.0145912575121566,-0.0248216298015493
1992,0.5551345617529867,0.5748604033864543,-0.0004163576246649,0.0206590125330837
1991,0.5555509193776516,0.5542013908533706,0.0220406604135085,-0.0115777724932439
1990,0.5335102589641431,0.5657791633466145,-0.0111926381387525,-0.0123728896004377
1989,0.5447028971028955,0.5781520529470522,0.0065772855202686,-0.0070293599336281
1988,0.538125611582627,0.5851814128806803,0.0012588283658437,0.0236529113821786
1987,0.5368667832167833,0.5615285014985016,-0.0033171889086517,-0.0494775213984615
1986,0.540183972125435,0.6110060228969632,-0.0148891718705804,0.0157037558316905
1985,0.5550731439960154,0.5953022670652727,0.0240239685837220,0.0129873095440322
1984,0.5310491754122934,0.5823149575212405,-0.0136909643780210,-0.0085284274013759
1983,0.5447401397903143,0.5908433849226165,-0.0153151443572435,0.0065768948927065
1982,0.5600552841475578,0.5842664900299099,0.0176088073859384,-0.0129591046727384
1981,0.5424464767616194,0.5972255947026484,-0.0119149448070085,0.0027013986242171
1980,0.5543614215686279,0.5945241960784312,-0.0092343784313728,0.0078278210784321
1979,0.5635958000000006,0.5866963749999992,0.0245989296572281,0.0340389681445590
1978,0.5389968703427725,0.5526574068554402,0.0054761806875981,-0.0019268100361149
1977,0.5335206896551744,0.5545842168915551,0.0049447932408322,0.0069086192819928
1976,0.5285758964143422,0.5476755976095623,0.0059014778096906,0.0240850038440994
1975,0.5226744186046516,0.5235905937654629,0.0043050085897782,0.0084047980292207
1974,0.5183694100148734,0.5151857957362422,0.0056068725523356,-0.0202050134545662
1973,0.5127625374625377,0.5353908091908084,-0.0084301139773821,0.0327625271649895
1972,0.5211926514399199,0.5026282820258189,0.0192392193411547,0.0083192400505101
1971,0.5019534320987652,0.4943090419753088,-0.0032746293786766,-0.0005077651640077
1970,0.5052280614774418,0.49481680713931653,0.0190582894259063,0.0044379865248471
1969,0.48616977205153555,0.49037882061446947,-0.0111523020225379,0.0334914428366911
1968,0.4973220740740734,0.4568873777777784,0.0081230725763201,0.0155211121761803
1967,0.4891990014977533,0.4413662656015981,-0.0155238043959036,-0.0388069182549037
1966,0.5047228058936569,0.48017318385650176,0.0039572214780729,0.0361799820583009
1965,0.500765584415584,0.44399320179820084,-0.0011298678582785,0.0471405631175409
1964,0.5018954522738626,0.3968526386806599,0.0178023022738627,0.0234249536806602
1963,0.48409314999999986,0.3734276849999997,-0.0066512499999996,0.0073541050000001
1962,0.49074439999999947,0.3660735799999996,0.0030296499999993,0.0299969060000004
1961,0.4877147500000002,0.33607667399999924,0.0056630499999997,-0.0033031260000008
1960,0.4820517000000005,0.33937980000000006,0.0022888500000001,0.0271696100000000
1959,0.47976285000000046,0.3122101900000001,0.0016313000000010,0.0033425099999998
1958,0.47813154999999946,0.3088676800000003,-0.0255218500000005,0.0150579250000006
1957,0.5036533999999999,0.2938097549999997,0.0143573499999993,-0.0088854550000007
1956,0.4892960500000006,0.3026952100000004,0.0029069500000007,0.0143186150000008
1955,0.4863890999999999,0.28837659499999957,0.0260178500000005,0.0248155599999997
1954,0.4603712499999994,0.2635610349999999,0.0195375499999995,-0.0038571749999998
1953,0.44083369999999994,0.26741820999999966,-0.0151875000000000,0.0118030999999995
1952,0.45602119999999996,0.2556151100000002,-0.0054018999999999,-0.0016549299999998
1951,0.46142309999999986,0.25727004000000003,-0.0676139500000005,-0.0462660100000004
1950,0.5290370500000003,0.30353605000000045,0.0850061500000008,0.0563220350000008
1949,0.4440308999999995,0.24721401499999962,-0.0187053500000008,0.0057304659999994
1948,0.4627362500000003,0.2414835490000002,-0.0093676599526069,-0.0214716287251185
1947,0.47210390995260715,0.26295517772511867,0.0569628282495004,0.0405944412464076
1946,0.41514108170310676,0.22236073647871105,-0.1027150682968944,-0.0030518340212890
1945,0.5178561500000012,0.22541257050000008,0.0152865001945535,-0.0272495176971466
1944,0.5025696498054477,0.2526620881971467,0.0474724509258962,-0.0272285700661586
1943,0.4550971988795515,0.27989065826330534,-0.0099165208129382,0.0244425388073619
1942,0.4650137196924897,0.2554481194559435,-0.0160608408038918,-0.0100384058801474
1941,0.48107456049638153,0.2654865253360909,-0.0443764270296059,-0.0467918998198343
1940,0.5254509875259874,0.3122784251559252,0.0117951875259872,0.0274506251559250
1939,0.5136558000000002,0.2848278000000002,0.0331453498392282,0.0035794077170418
1938,0.48051045016077204,0.2812483922829584,-0.0621299431826470,-0.0292640585491141
1937,0.5426403933434191,0.31051245083207246,-0.0807376566565811,0.0465047758820723
1936,0.6233780500000001,0.2640076749500002,0.0683809968289552,0.0173847601517940
1935,0.554997053171045,0.24662291479820622,0.0258286682913200,-0.0169473601158832
1934,0.529168384879725,0.2635702749140894,-0.0409008458895055,-0.0231839985901841
1933,0.5700692307692304,0.2867542735042735,-0.0321448357269332,0.0083919972894396
1932,0.6022140664961636,0.27836227621483395,0.0073212979011213,0.0436258268346685
1931,0.5948927685950423,0.23473644938016547,0.0751825883193263,-0.1001233915530266
1930,0.5197101802757159,0.33485984093319204,-0.1281296725108242,0.0929520596503323
1929,0.6478398527865401,0.24190778128285972,0.1129331861198740,0.0330519616750166
1928,0.5349066666666661,0.2088558196078431,-0.1210226666666668,-0.0590463137254902
1927,0.6559293333333329,0.26790213333333335,0.0590143596689238,0.0573957074492101
1926,0.5969149736644092,0.21050642588412327,0.0220404216930830,-0.0675795956212530
1925,0.5748745519713262,0.2780860215053763,0.0249804841747160,-0.0662605886641149
1924,0.5498940677966102,0.3443466101694912,-0.0274464727439299,0.0819401236830047
1923,0.5773405405405401,0.2624064864864865,0.0017207058297963,0.0362338418583873
1922,0.5756198347107437,0.22617264462809922,0.1434493218902307,-0.0149637015257470
1921,0.432170512820513,0.2411363461538462,-0.0835796304459630,-0.1775632240467268
1920,0.515750143266476,0.41869957020057297,"",""
